idx,T,quality,v0,w0,tc_real,tc_twin,dtc,air_com_dev_mm,air_ang_dev_deg,contact_frames_real,contact_frames_twin,stop_dist_real,stop_dist_twin,e_z_real,e_z_twin,rest_offset_w,wind_mag,wind_offset_m,wind_offset_w,wind_offset_pct
393,106,fit,1.1880017768972326,4.752720637218994,8,8,0,2.2453279330872515,0.06077377786145224,79,98,0.3534463346004486,0.4441274834254068,0.21905303,0.41411683569539687,2.3015803280950506,8.25939867851845,0.26390400663572594,2.5181680022492934,69.50763556511528
394,105,fit,1.1576966259609087,5.3515523791651045,8,8,0,0.0883037741071482,0.04262591712084501,77,71,0.34107154607772827,0.28837696753455944,0.26143995,0.3814407838645176,0.5316270821019597,0.6839671674527088,0.002828435388737409,0.026988887297112678,0.743135731092118
395,104,fit,1.1810567351050212,3.072318477515911,16,16,0,0.581965527850465,0.36437960390616897,70,68,0.30932188034057617,0.2738217401297763,0.048321724,0.0,0.3976190365725464,1.5508263691053332,0.009918303734041692,0.09464030280574133,2.2827740484372585
396,93,fit,1.1110890906546769,6.134132830079109,10,10,0,1.2222704994231688,0.029365759529431223,64,74,0.25288358330726624,0.28649556506027224,0.28104404,0.27700845302606514,0.545237351142576,4.761734731604553,0.05911742103536817,0.5640975289634367,15.910103629112264
397,108,fit,1.3214255594678772,3.691108973516929,10,10,0,2.740655422703775,0.0785873992422529,79,84,0.38948944211006165,0.3336829708238096,0.13719964,0.2548318091094346,1.57460729621832,6.629816762199835,0.1735046565630561,1.655578783998627,35.03741121049025
398,97,fit,1.166219914798776,1.957803008917548,10,10,0,0.10744579537375416,0.03425114508108998,69,81,0.29719796776771545,0.363959988726549,0.018832548,0.0,0.6628300421407808,1.1107550985625465,0.005489070802531593,0.05237662979514878,1.1948785005114866
399,100,fit,1.2277586904469653,2.984822479616358,15,15,0,6.189917593508037,0.15479722289388292,66,85,0.2835344076156616,0.5127086371869563,0.23389398,0.27102127366441414,2.497749082776052,7.885950150077035,0.27626977152044435,2.6361619419889726,66.04409138510795
400,106,fit,1.2936020162919422,5.1281704699937585,11,11,0,2.8820519026132896,0.07158535466327445,77,50,0.36566516757011414,0.21324578703389113,0.27653816,0.29009378549298775,1.4889562207083573,5.411050020616681,0.1634127740127742,1.5592821947783797,33.16495488524651
401,91,fit,0.941174816262799,3.117035864815726,18,18,0,5.627154471115138,0.35804663914073287,54,33,0.18879136443138123,0.09950914292298027,0.15310334,0.22184052171902044,0.9222781261012409,4.425520630873311,0.07367883778367966,0.7030423452641189,22.657367060121135
402,100,fit,1.20575878664032,4.9076918150167925,9,9,0,0.2751807203951299,0.1791560329249104,73,75,0.3238517642021179,0.3254992063818919,0.0,0.0,0.12873105574774382,1.6573073008779342,0.011459911810498708,0.10935030353529301,2.6622348710375565
403,104,fit,1.1625137402128853,4.308072031465274,14,14,0,1.3915244460414504,0.1497245769902293,72,63,0.30521729588508606,0.24176339228212368,0.3084726,0.3838085679270347,0.6668765290912294,2.8334885637970064,0.039011033436474885,0.3722426854625466,9.223136218909023
404,106,fit,1.2343111939955282,4.069407294961452,14,14,0,0.7829384289867662,0.12059664027373082,72,74,0.3159884214401245,0.3217846158568927,0.15062554,0.10100934585527935,0.14098081490170158,1.1845870412182735,0.017980888493855814,0.1715733634909906,3.7193754426766152
405,93,fit,1.0987518265026999,2.762201612226675,16,16,0,4.45484232430079,0.2054196352814146,59,77,0.23110701143741608,0.3188581056153862,0.0,0.0,1.0842104872713727,6.054196388074596,0.12455204270536419,1.188473689936681,34.51742977831892
406,102,fit,1.2830608714126996,2.8426735370280922,13,13,0,4.268023611873088,0.15190544011781895,71,89,0.3191177248954773,0.45186692117615157,0.006968005,0.0,1.9293609193876695,6.839607946096839,0.1815858732955193,1.7326896306824362,38.63022322510175
407,102,fit,1.1257828769193206,2.7908604802930643,17,17,0,18.306637572581735,0.08557323053040855,65,85,0.2628268301486969,0.1736711424821961,0.0,0.0,3.0200971536769963,9.604876728944273,0.2837824599002794,2.707847899811826,73.25507568779354
408,99,fit,1.123811750151103,3.577129666828179,15,15,0,10.418888004631487,0.2755670918682315,64,84,0.2532323896884918,0.30917317216745577,0.03798089,0.033851092396588754,2.853381090302688,8.599933734975346,0.2749398081008175,2.623471451343678,72.88340272070388
409,106,fit,1.1396571816185335,4.620683163996948,18,18,0,18.937467853579317,0.13980989878545308,70,28,0.2847926616668701,0.07524579792611996,0.018234113,0.0,2.2325419182777337,9.04068203106894,0.287312111713148,2.741527783522405,61.6287633270621
410,114,fit,1.1966258009215394,4.010135315141138,20,20,0,4.758833427999195,0.16474314331055515,75,72,0.32574227452278137,0.28272236355474056,0.15846388,0.24035738705627585,0.5773180263246366,4.618136095454809,0.06877986771755275,0.656296447686572,14.329634384604862
